,word,score,count,ratio
69,🥛,2,6,0.3333333333333333
67,🍂,2,10,0.2
628,🛁,2,2,1.0
71,🕵,2,5,0.4
7,💒,2,6,0.3333333333333333
35,⛹,2,6,0.3333333333333333
14,🌡,2,4,0.5
672,🌀,3,11,0.2727272727272727
771,🍩,3,11,0.2727272727272727
318,🐅,3,6,0.5
670,👼,3,22,0.13636363636363635
919,🛸,3,10,0.3
265,💮,3,7,0.42857142857142855
906,🛰,3,4,0.75
311,🦉,3,11,0.2727272727272727
1039,🎖,3,5,0.6
316,💨,3,59,0.05084745762711865
764,🇫,3,22,0.13636363636363635
286,🔩,3,5,0.6
939,🌧,3,23,0.13043478260869565
885,🍪,3,16,0.1875
826,🐠,3,5,0.6
827,🍨,3,10,0.3
3,♨,3,9,0.3333333333333333
831,👜,3,6,0.5
433,🎗,3,5,0.6
832,🦵,3,5,0.6
439,🦀,3,9,0.3333333333333333
443,🌮,3,5,0.6
840,🙀,3,14,0.21428571428571427
447,🤭,3,243,0.012345679012345678
844,🍵,3,8,0.375
848,🖋,3,5,0.6
387,🌘,3,3,1.0
386,💴,3,5,0.6
460,🌪,3,6,0.5
34,🌒,3,4,0.75
345,👧,3,13,0.23076923076923078
881,⛅,3,5,0.6
786,🌅,3,11,0.2727272727272727
68,🎮,3,19,0.15789473684210525
785,👢,3,10,0.3
896,🗽,3,7,0.42857142857142855
514,🧸,3,16,0.1875
824,☁,3,30,0.1
192,🎻,3,10,0.3
114,🔐,3,12,0.25
590,😮,3,74,0.04054054054054054
683,💄,3,11,0.2727272727272727
969,🔑,3,12,0.25
209,🐬,3,6,0.5
1015,📽,3,14,0.21428571428571427
681,🎬,3,22,0.13636363636363635
587,🎇,3,4,0.75
728,👙,3,10,0.3
169,🏎,3,8,0.375
120,♈,3,11,0.2727272727272727
170,🕷,3,8,0.375
1001,🏂,3,5,0.6
1003,🎲,3,6,0.5
168,🎫,3,5,0.6
541,🔄,3,12,0.25
549,🐔,3,10,0.3
1046,☪,3,8,0.375
609,🏏,3,4,0.75
521,🚚,3,4,0.75
608,🥓,3,8,0.375
241,🧹,3,10,0.3
749,🔃,3,5,0.6
528,🚲,3,5,0.6
524,👪,3,3,1.0
1023,🧀,3,5,0.6
603,🥘,3,6,0.5
961,🧿,3,10,0.3
694,📀,3,6,0.5
692,🪐,3,10,0.3
1085,🥋,3,5,0.6
70,💡,3,24,0.125
568,🍅,3,9,0.3333333333333333
843,🐖,4,14,0.2857142857142857
1131,🏒,4,14,0.2857142857142857
850,📈,4,26,0.15384615384615385
388,🐛,4,9,0.4444444444444444
1011,👮,4,12,0.3333333333333333
171,🔆,4,7,0.5714285714285714
943,🧠,4,30,0.13333333333333333
858,👠,4,11,0.36363636363636365
944,🤖,4,14,0.2857142857142857
263,☎,4,8,0.5
954,😱,4,227,0.01762114537444934
64,🍿,4,15,0.26666666666666666
297,⤵,4,21,0.19047619047619047
219,⛸,4,6,0.6666666666666666
214,👓,4,5,0.8
47,🏍,4,10,0.4
1115,🔊,4,47,0.0851063829787234
21,🐸,4,21,0.19047619047619047
203,🇩,4,29,0.13793103448275862
1119,👕,4,6,0.6666666666666666
889,🐭,4,7,0.5714285714285714
197,🧼,4,10,0.4
193,🐞,4,5,0.8
255,🐕,4,19,0.21052631578947367
996,👐,4,22,0.18181818181818182
364,🍧,4,8,0.5
863,🦢,4,6,0.6666666666666666
861,🏋,4,12,0.3333333333333333
199,♻,4,9,0.4444444444444444
1040,🌾,4,15,0.26666666666666666
319,🎥,4,40,0.1
576,🐢,4,12,0.3333333333333333
465,🐴,4,11,0.36363636363636365
680,⭕,4,11,0.36363636363636365
625,🍜,4,8,0.5
686,🚩,4,20,0.2
512,🐼,4,13,0.3076923076923077
516,🐱,4,37,0.10810810810810811
658,🐣,4,13,0.3076923076923077
751,🏊,4,7,0.5714285714285714
690,👦,4,11,0.36363636363636365
434,🍭,4,18,0.2222222222222222
664,🥐,4,4,1.0
714,🏠,4,12,0.3333333333333333
558,🔞,4,23,0.17391304347826086
725,🔔,4,14,0.2857142857142857
711,🛎,4,11,0.36363636363636365
732,🐦,4,8,0.5
556,☑,5,41,0.12195121951219512
666,👗,5,8,0.625
346,🤴,5,10,0.5
1095,📻,5,17,0.29411764705882354
320,🔒,5,11,0.45454545454545453
1089,🏡,5,14,0.35714285714285715
677,💧,5,29,0.1724137931034483
679,💍,5,21,0.23809523809523808
902,🐥,5,16,0.3125
183,🔫,5,14,0.35714285714285715
684,🐎,5,14,0.35714285714285715
685,📣,5,22,0.22727272727272727
1076,🖼,5,6,0.8333333333333334
994,📝,5,13,0.38461538461538464
112,😯,5,42,0.11904761904761904
260,⏩,5,10,0.5
191,💤,5,30,0.16666666666666666
1116,🏳,5,18,0.2777777777777778
726,🦍,5,18,0.2777777777777778
244,©,5,44,0.11363636363636363
137,🌳,5,17,0.29411764705882354
122,🦌,5,5,1.0
1045,🅱,5,14,0.35714285714285715
136,☔,5,19,0.2631578947368421
